vin,model,primary_failed_part_capital,primary_failed_part,part_family,mileage_bucket,age_bucket,date,manufacturing_date,model_year,telematics_timestamp,dtc_code,dtc_subsystem,dtc_severity,dtc_recommendation,dtc_explanation,dtc_timestamp,claims_count,repairs_count,recalls_count,predicted_claim_prob,supplier_name,supplier_id,supplier_quality_score,defect_rate,failure_description,current_lat,current_lon,city,dealer_name,dealer_lat,dealer_lon,dealer_distance_km,customer_email,customer_mobile,battery_soc,battery_voltage,battery_temperature,battery_health_status,battery_charge_cycles,battery_degradation_pct,engine_rpm,coolant_temperature,water_pump_speed,oil_pressure,engine_load,engine_health_status,brake_pressure,brake_pad_wear_pct,brake_fluid_level,brake_torque,brake_health_status,ambient_temperature,vehicle_speed,anomaly_type,anomaly_timestamp,anomaly_severity,anomaly_description,anomaly_icon
1N4BGPA1700010,Ariya,Clutch,Clutch,Transmission,0-10k,<1yr,2025-03-12,2024-08-12,2024,2025-03-12 00:05:42,,,,,,,0,0,0,0.0233,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,39.76947,-105.008678,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,3.87,bijus.digital.world@gmail.com,+91 9380636750,64.8,355.6,11.0,Normal,1131,6.2,772,193.4,1612,41.2,10.0,Normal,32.0,29.0,Normal,101.5,Normal,70.8,0,,,,,
1N4AZMB1500011,Leaf,Torque Converter,Torque Converter,Transmission,0-10k,<1yr,2025-03-23,2024-09-23,2024,2025-03-23 22:52:48,,,,,,,0,0,0,0.0314,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,37.794359,-122.365886,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,4.94,bijus.digital.world@gmail.com,+91 9380636750,76.7,337.6,24.4,Normal,1051,2.8,740,200.3,1399,45.0,15.7,Normal,30.0,14.1,Normal,115.0,Normal,68.0,0,,,,,
1N4AZMJ1800012,Leaf,HV Battery,HV Battery,Battery,30-60k,3-5yr,2025-02-21,2022-02-21,2022,2025-02-21 02:15:23,P0A7F,Battery,CRITICAL,Replace hybrid battery pack,The hybrid battery pack has deteriorated beyond acceptable limits.,2025-02-21 02:15:23,1,0,0,0.8194,AESC (Automotive Energy Supply),97330D39,88,0.12,Connector corrosion causing intermittent power loss,40.041609,-75.122677,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,9.48,bijus.digital.world@gmail.com,+91 9380636750,47.2,300.7,41.0,Critical,216,12.0,856,195.9,1242,36.0,34.6,Warning,28.4,52.6,Normal,101.7,Warning,86.2,0,DTC logged,2025-02-21 02:15:23,WARNING,Diagnostic trouble code P0A7F detected,wrench
1N4AZRD1500013,Leaf,Rear Tire,Rear Tire,Tires,30-60k,5+yr,2025-04-30,2020-04-30,2020,2025-04-30 23:37:27,,,,,,,0,0,0,0.2433,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,45.527993,-122.704886,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,4.06,bijus.digital.world@gmail.com,+91 9380636750,56.5,326.2,22.3,Critical,1646,1.3,712,195.2,1531,41.2,14.5,Normal,28.0,12.2,Normal,102.8,Normal,72.7,0,,,,,
1N4AZPD1200014,Leaf,Front Tire,Front Tire,Tires,0-10k,<1yr,2025-06-17,2025-04-17,2025,2025-06-17 09:59:23,,,,,,,0,0,0,0.0994,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,36.141972,-115.156196,"Las Vegas, NV",United Nissan,36.1799,-115.1298,5.13,bijus.digital.world@gmail.com,+91 9380636750,68.1,347.7,25.3,Normal,1838,14.9,750,184.8,1397,45.7,19.5,Normal,29.1,10.0,Normal,105.9,Normal,82.8,0,,,,,
1N4BGMF1300015,Ariya,Rear Tire,Rear Tire,Tires,10-30k,1-3yr,2025-01-25,2023-03-25,2023,2025-01-25 15:56:34,,,,,,,0,0,0,0.0931,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,33.813685,-84.43827,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,9.03,bijus.digital.world@gmail.com,+91 9380636750,76.9,356.5,24.6,Normal,1678,8.2,888,210.0,1450,39.2,22.6,Normal,32.0,10.6,Normal,113.8,Normal,37.6,0,,,,,
1N4AAPF1400016,Sentra,12V Battery,12V Battery,Battery,10-30k,1-3yr,2025-02-16,2023-09-16,2023,2025-02-16 23:25:14,P0A7F,Battery,CRITICAL,Replace hybrid battery pack,The hybrid battery pack has deteriorated beyond acceptable limits.,2025-02-16 23:25:14,1,0,0,0.0577,AESC (Automotive Energy Supply),97330D39,88,0.12,Premature capacity loss from charging cycle wear,33.40804,-112.028595,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,6.83,bijus.digital.world@gmail.com,+91 9380636750,52.8,11.0,44.7,Critical,905,13.6,1095,211.9,1438,35.2,29.0,Warning,30.0,62.6,Normal,113.7,Warning,58.4,5,DTC logged,2025-02-16 23:25:14,WARNING,Diagnostic trouble code P0A7F detected,wrench
1N4AZNA1800017,Leaf,Torque Converter,Torque Converter,Transmission,10-30k,1-3yr,2025-05-18,2024-05-18,2024,2025-05-18 13:23:43,P0751,Transmission,HIGH,Inspect transmission fluid and transmission control module,The Transmission system has detected a fault requiring diagnostic attention.,2025-05-18 13:23:43,1,0,0,0.0406,ZF Friedrichshafen NA,67A49191,72,0.28,Solenoid valve sticking causing shift delays,40.674782,-73.930144,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,10.92,bijus.digital.world@gmail.com,+91 9380636750,46.3,309.1,31.1,Critical,945,14.4,801,182.2,1092,33.7,35.5,Warning,31.8,57.0,Normal,107.7,Warning,75.9,5,DTC logged,2025-05-18 13:23:43,INFO,Diagnostic trouble code P0751 detected,wrench
1N4AANA1100018,Sentra,Brake Rotor,Brake Rotor,Brakes,30-60k,<1yr,2025-01-27,2024-10-27,2024,2025-01-27 06:10:15,C1201,Brakes,MEDIUM,Inspect brake system and ABS module,ABS control module has malfunctioned.,2025-01-27 06:10:15,0,1,0,0.077,Akebono Brake Corporation,4AC396F1,82,0.18,Hydraulic fluid contamination,40.670097,-73.944018,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,9.9,bijus.digital.world@gmail.com,+91 9380636750,66.4,11.1,41.3,Critical,666,13.6,953,183.3,1178,46.6,35.6,Warning,24.8,83.0,Low,87.4,Critical,63.3,10,DTC logged,2025-01-27 06:10:15,WARNING,Diagnostic trouble code C1201 detected,wrench
1N4BGRJ1700019,Ariya,12V Battery,12V Battery,Battery,10-30k,1-3yr,2025-04-16,2023-08-16,2023,2025-04-16 15:34:59,,,,,,,0,0,0,0.01,Envision AESC,BA98DA71,75,0.25,No failure detected,43.668335,-79.344461,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,3.24,bijus.digital.world@gmail.com,+91 9380636750,100.0,347.5,23.4,Normal,155,4.5,872,180.0,1531,40.3,24.0,Normal,28.7,21.1,Normal,112.6,Normal,60.2,0,,,,,
1N4BGRD1500020,Ariya,Brake Caliper,Brake Caliper,Brakes,0-10k,1-3yr,2025-06-16,2023-07-16,2023,2025-06-16 19:11:58,,,,,,,0,0,0,0.0521,Brembo North America,D984E5F8,95,0.05,No failure detected,36.120891,-115.153314,"Las Vegas, NV",United Nissan,36.1799,-115.1298,7.05,bijus.digital.world@gmail.com,+91 9380636750,88.9,379.2,27.3,Normal,145,8.7,671,186.2,1226,38.6,26.6,Normal,30.5,29.5,Normal,105.4,Normal,94.7,0,,,,,
1N4BGPB1000021,Ariya,Brake Pad,Brake Pad,Brakes,10-30k,3-5yr,2025-05-12,2022-05-12,2022,2025-05-12 18:32:17,,,,,,,0,0,0,0.3164,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,29.684905,-95.420791,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,11.66,bijus.digital.world@gmail.com,+91 9380636750,65.8,345.7,18.4,Normal,1325,4.5,864,206.2,1601,43.5,19.1,Normal,28.0,27.0,Normal,110.0,Normal,84.7,10,,,,,
1N4AZMA1500022,Leaf,Gearbox,Gearbox,Transmission,30-60k,1-3yr,2025-03-31,2022-07-31,2022,2025-03-31 22:49:52,,,,,,,0,0,0,0.077,Aisin AW North America,4FC24710,80,0.2,No failure detected,39.918366,-75.154029,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,4.91,bijus.digital.world@gmail.com,+91 9380636750,78.3,332.0,27.7,Warning,1517,13.1,870,185.4,1526,32.9,16.5,Normal,31.4,11.0,Normal,103.6,Normal,75.6,0,,,,,
1N4BGMA1900023,Ariya,Brake Caliper,Brake Caliper,Brakes,30-60k,<1yr,2025-06-22,2025-03-22,2025,2025-06-22 08:21:07,C1201,Brakes,MEDIUM,Inspect brake system and ABS module,ABS control module has malfunctioned.,2025-06-22 08:21:07,1,1,0,0.0676,Brembo North America,D984E5F8,95,0.05,Pad material decomposition from excessive heat,33.805396,-84.328721,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,7.51,bijus.digital.world@gmail.com,+91 9380636750,26.8,309.2,33.7,Critical,218,11.5,1163,203.4,1066,31.5,37.7,Warning,26.8,74.7,Low,93.5,Critical,49.3,5,DTC logged,2025-06-22 08:21:07,WARNING,Diagnostic trouble code C1201 detected,wrench
1N4AZRK1600024,Leaf,Brake Pad,Brake Pad,Brakes,10-30k,1-3yr,2025-06-27,2022-07-27,2022,2025-06-27 21:51:10,,,,,,,0,0,0,0.2503,Brembo North America,D984E5F8,95,0.05,No failure detected,29.788688,-95.456647,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,10.94,bijus.digital.world@gmail.com,+91 9380636750,87.0,349.6,18.7,Normal,1692,2.0,837,187.3,1698,45.5,23.9,Normal,29.4,25.7,Normal,110.1,Normal,70.2,15,,,,,
1N4AAPD1800025,Sentra,Battery Cable,Battery Cable,Battery,10-30k,1-3yr,2025-04-25,2022-07-25,2022,2025-04-25 07:25:09,,,,,,,0,0,0,0.0596,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,45.42511,-122.727049,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,12.88,bijus.digital.world@gmail.com,+91 9380636750,78.4,11.4,24.0,Critical,326,2.8,715,191.2,1331,41.3,15.5,Normal,30.3,15.4,Normal,112.2,Normal,88.3,30,,,,,
1N4BGRD1600026,Ariya,Clutch,Clutch,Transmission,10-30k,<1yr,2025-03-09,2024-12-09,2024,2025-03-09 23:20:15,,,,,,,0,0,0,0.0141,JATCO North America,BD01AAB5,88,0.12,No failure detected,41.84855,-87.591422,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,5.4,bijus.digital.world@gmail.com,+91 9380636750,100.0,352.6,19.9,Normal,400,6.9,676,198.4,1708,35.8,25.7,Normal,28.0,10.5,Normal,107.1,Normal,59.9,0,,,,,
1N4AAMD1600027,Sentra,Torque Converter,Torque Converter,Transmission,10-30k,1-3yr,2025-04-12,2022-09-12,2022,2025-04-12 23:20:49,,,,,,,0,0,0,0.0217,JATCO North America,BD01AAB5,88,0.12,No failure detected,37.823549,-122.46913,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,7.9,bijus.digital.world@gmail.com,+91 9380636750,100.0,11.8,23.4,Critical,1247,10.8,699,189.4,1492,42.5,13.7,Normal,30.8,18.5,Normal,106.3,Normal,55.9,0,,,,,
1N4BGPD1300028,Ariya,Rear Tire,Rear Tire,Tires,10-30k,<1yr,2025-06-16,2024-10-16,2024,2025-06-16 21:21:46,,,,,,,0,0,0,0.099,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,34.086434,-118.322799,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,10.25,bijus.digital.world@gmail.com,+91 9380636750,96.0,338.4,19.1,Normal,372,6.5,711,210.0,1698,37.4,18.7,Normal,29.8,24.1,Normal,118.9,Normal,97.5,20,,,,,
1N4AZMA1100029,Leaf,Brake Pad,Brake Pad,Brakes,10-30k,1-3yr,2025-06-30,2023-10-30,2023,2025-06-30 08:40:18,,,,,,,0,0,0,0.2684,Brembo North America,D984E5F8,95,0.05,No failure detected,43.696443,-79.39293,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,4.29,bijus.digital.world@gmail.com,+91 9380636750,82.4,321.5,18.2,Critical,1946,14.6,757,207.7,1264,41.4,24.1,Normal,29.5,19.2,Normal,102.2,Normal,77.0,15,,,,,
1N4BGMF1400030,Ariya,12V Battery,12V Battery,Battery,30-60k,1-3yr,2025-03-09,2023-01-09,2023,2025-03-09 14:10:37,P0A80,Battery,CRITICAL,Replace hybrid battery pack,The battery pack is unable to hold sufficient charge and requires replacement.,2025-03-09 14:10:37,0,1,0,0.0157,LG Energy Solution,A1D0557A,92,0.08,Cell degradation due to thermal stress,43.573921,-79.408065,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,10.64,bijus.digital.world@gmail.com,+91 9380636750,35.2,311.7,41.6,Critical,646,11.7,698,184.3,1310,38.5,38.6,Warning,28.0,58.7,Normal,104.9,Warning,63.8,0,DTC logged,2025-03-09 14:10:37,WARNING,Diagnostic trouble code P0A80 detected,wrench
1N4AZNB1000031,Leaf,Front Tire,Front Tire,Tires,10-30k,1-3yr,2025-03-20,2022-11-20,2022,2025-03-20 14:10:16,C1710,Brakes,LOW,Inspect Front Tire and related systems,The Tires system has detected a fault requiring diagnostic attention.,2025-03-20 14:10:16,0,1,0,0.1074,Goodyear Tire & Rubber,819C1E2D,85,0.15,Uneven wear from alignment issues,34.061029,-118.19343,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,4.47,bijus.digital.world@gmail.com,+91 9380636750,33.1,309.9,28.9,Critical,611,12.9,1067,208.6,1422,45.4,34.7,Warning,30.8,52.0,Normal,105.3,Warning,51.1,0,DTC logged,2025-03-20 14:10:16,INFO,Diagnostic trouble code C1710 detected,wrench
1N4AAPD1100032,Sentra,Brake Pad,Brake Pad,Brakes,30-60k,3-5yr,2025-05-23,2020-10-23,2020,2025-05-23 04:09:28,,,,,,,0,0,0,0.5098,Brembo North America,D984E5F8,95,0.05,No failure detected,33.759631,-84.404937,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,2.99,bijus.digital.world@gmail.com,+91 9380636750,100.0,13.0,23.6,Normal,1156,12.6,797,197.4,1385,37.4,17.9,Normal,29.1,24.7,Normal,117.9,Normal,100.0,0,,,,,
1N4BGRB1400033,Ariya,Spare Tire,Spare Tire,Tires,10-30k,5+yr,2025-02-09,2019-08-09,2019,2025-02-09 08:00:26,,,,,,,0,0,0,0.1715,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,39.926474,-75.230245,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,9.24,bijus.digital.world@gmail.com,+91 9380636750,87.7,350.8,21.5,Normal,1172,10.7,656,197.9,1457,41.5,17.2,Normal,31.7,25.4,Normal,113.9,Normal,56.1,0,,,,,
1N4AAMF1000034,Sentra,Brake Rotor,Brake Rotor,Brakes,30-60k,3-5yr,2025-04-21,2020-05-21,2020,2025-04-21 07:00:26,C1201,Brakes,MEDIUM,Inspect brake system and ABS module,ABS control module has malfunctioned.,2025-04-21 07:00:26,0,1,0,0.0644,Akebono Brake Corporation,4AC396F1,82,0.18,Hydraulic fluid contamination,39.717939,-104.996246,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,3.9,bijus.digital.world@gmail.com,+91 9380636750,66.0,11.0,34.5,Critical,1070,2.6,880,186.7,1484,31.0,20.2,Warning,21.1,76.1,Low,94.8,Critical,51.5,0,DTC logged,2025-04-21 07:00:26,WARNING,Diagnostic trouble code C1201 detected,wrench
1N4BGMF1800035,Ariya,Spare Tire,Spare Tire,Tires,30-60k,3-5yr,2025-03-03,2021-01-03,2021,2025-03-03 11:37:24,,,,,,,0,0,0,0.191,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,40.627935,-73.945099,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,13.15,bijus.digital.world@gmail.com,+91 9380636750,54.0,374.4,18.6,Normal,1122,7.3,796,186.4,1296,39.2,22.8,Normal,30.9,27.5,Normal,115.4,Normal,72.3,0,,,,,
1N4AAPF1800036,Sentra,12V Battery,12V Battery,Battery,10-30k,3-5yr,2025-03-07,2021-02-07,2021,2025-03-07 09:54:56,,,,,,,0,0,0,0.0513,LG Energy Solution,A1D0557A,92,0.08,No failure detected,47.652146,-122.353902,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,5.33,bijus.digital.world@gmail.com,+91 9380636750,90.9,12.4,23.8,Normal,704,10.5,784,197.1,1436,32.7,24.7,Normal,28.3,22.4,Normal,101.3,Normal,66.1,0,,,,,
1N4AZNF1500037,Leaf,Spare Tire,Spare Tire,Tires,10-30k,<1yr,2025-02-08,2025-01-08,2025,2025-02-08 20:24:18,,,,,,,0,0,0,0.0449,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,43.721488,-79.354732,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,6.79,bijus.digital.world@gmail.com,+91 9380636750,57.4,351.7,18.6,Normal,490,7.4,682,191.5,1337,35.6,27.3,Normal,32.0,23.5,Normal,110.6,Normal,94.4,10,,,,,
1N4AZMF1700038,Leaf,Torque Converter,Torque Converter,Transmission,10-30k,1-3yr,2025-05-05,2022-06-05,2022,2025-05-05 10:50:03,,,,,,,0,0,0,0.01,Aisin AW North America,4FC24710,80,0.2,No failure detected,45.498817,-73.564237,"Montreal, QC",Montreal Nissan Centre,45.5117,-73.5573,1.62,bijus.digital.world@gmail.com,+91 9380636750,47.3,360.2,18.1,Warning,1894,7.3,833,200.9,1266,46.2,19.5,Normal,31.4,10.4,Normal,111.8,Normal,77.3,0,,,,,
1N4BGRA1300039,Ariya,Brake Rotor,Brake Rotor,Brakes,30-60k,1-3yr,2025-04-18,2024-03-18,2024,2025-04-18 14:11:11,C1202,Brakes,MEDIUM,Inspect brake system and ABS module,ABS control module communication error detected.,2025-04-18 14:11:11,0,1,0,0.0341,Akebono Brake Corporation,4AC396F1,82,0.18,Caliper piston seal failure,45.460425,-122.613715,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,9.41,bijus.digital.world@gmail.com,+91 9380636750,27.9,311.8,28.1,Critical,436,7.1,1092,189.5,1496,37.6,32.9,Warning,24.9,77.0,Low,83.8,Critical,45.8,0,DTC logged,2025-04-18 14:11:11,WARNING,Diagnostic trouble code C1202 detected,wrench
1N4AARD1500040,Sentra,Spare Tire,Spare Tire,Tires,0-10k,<1yr,2025-06-08,2024-10-08,2024,2025-06-08 13:29:22,,,,,,,0,0,0,0.0744,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,29.673013,-95.40944,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,12.13,bijus.digital.world@gmail.com,+91 9380636750,73.2,13.2,23.8,Normal,1973,11.8,792,190.4,1526,33.2,11.9,Normal,28.0,15.5,Normal,103.3,Normal,85.2,20,,,,,
1N4AAPJ1400041,Sentra,Clutch,Clutch,Transmission,10-30k,1-3yr,2025-05-19,2022-11-19,2022,2025-05-19 08:39:00,P0700,Transmission,CRITICAL,Inspect transmission fluid and transmission control module,Transmission control system has detected a malfunction.,2025-05-19 08:39:00,0,1,0,0.0131,JATCO North America,BD01AAB5,88,0.12,Torque converter seal leak,41.924947,-87.614485,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,4.13,bijus.digital.world@gmail.com,+91 9380636750,61.1,11.2,43.2,Critical,707,14.6,681,213.2,1061,43.7,39.4,Warning,30.3,57.8,Normal,101.4,Warning,54.3,25,DTC logged,2025-05-19 08:39:00,WARNING,Diagnostic trouble code P0700 detected,wrench
1N4AZPD1700042,Leaf,Gearbox,Gearbox,Transmission,0-10k,1-3yr,2025-01-18,2023-03-18,2023,2025-01-18 21:14:45,,,,,,,0,0,0,0.01,JATCO North America,BD01AAB5,88,0.12,No failure detected,42.323163,-71.135116,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,10.9,bijus.digital.world@gmail.com,+91 9380636750,100.0,359.3,18.1,Normal,1918,12.7,805,207.0,1743,44.6,10.2,Normal,31.9,19.7,Normal,104.6,Normal,63.7,0,,,,,
1N4AZPF1600043,Leaf,Rear Tire,Rear Tire,Tires,60k+,3-5yr,2025-01-02,2020-11-02,2020,2025-01-02 19:13:52,,,,,,,0,0,0,0.3552,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,39.896564,-75.168083,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,7.47,bijus.digital.world@gmail.com,+91 9380636750,79.9,363.9,28.2,Normal,496,3.4,784,198.4,1245,37.2,24.8,Normal,30.4,23.1,Normal,108.4,Normal,100.0,5,,,,,
1N4BGNK1500044,Ariya,Gearbox,Gearbox,Transmission,10-30k,<1yr,2025-03-24,2024-11-24,2024,2025-03-24 03:40:09,,,,,,,0,0,0,0.0548,JATCO North America,BD01AAB5,88,0.12,No failure detected,43.687074,-79.377074,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,2.68,bijus.digital.world@gmail.com,+91 9380636750,73.6,366.6,19.3,Normal,1582,7.8,855,210.0,1252,39.6,14.6,Normal,32.0,27.9,Normal,105.7,Normal,71.7,0,,,,,
