vin,model,primary_failed_part_capital,primary_failed_part,part_family,mileage_bucket,age_bucket,date,manufacturing_date,dtc_code,claims_count,repairs_count,recalls_count,predicted_claim_prob,supplier_name,supplier_id,supplier_quality_score,defect_rate,failure_description,current_lat,current_lon,city,dealer_name,dealer_lat,dealer_lon,dealer_distance_km,customer_email,customer_mobile
1N4BGPA1300010,Ariya,Gearbox,Gearbox,Transmission,30-60k,5+yr,2025-03-12,2018-08-23,,0,0,0,0.1607,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,32.739042,-96.844387,"Dallas, TX",Dallas Central Nissan,32.7867,-96.787,8.28,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMB1900011,Ariya,Clutch,Clutch,Transmission,30-60k,<1yr,2025-03-23,2024-09-23,,0,0,0,0.01,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,25.718457,-80.230899,"Miami, FL",Miami Beach Nissan,25.7717,-80.1818,8.04,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMJ1100012,Leaf,Clutch,Clutch,Transmission,10-30k,<1yr,2025-02-21,2025-01-21,,0,0,0,0.0413,Aisin AW North America,4FC24710,80,0.2,No failure detected,33.50876,-112.066432,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,5.6,bijus.digital.world@gmail.com,+91 9380636750
1N4AZRD1000013,Leaf,Rear Tire,Rear Tire,Tires,30-60k,5+yr,2025-04-30,2020-04-30,C1201,1,1,0,0.2237,Bridgestone Americas,18C7AD62,90,0.1,Sidewall cracking from UV exposure,33.975263,-118.29325,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,11.7,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPD1400014,Leaf,Rear Tire,Rear Tire,Tires,30-60k,5+yr,2025-06-17,2020-06-17,,0,0,0,0.2064,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,39.934402,-75.126281,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,4.48,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMF1700015,Ariya,Gearbox,Gearbox,Transmission,0-10k,<1yr,2025-01-25,2024-08-25,,0,0,0,0.0494,JATCO North America,BD01AAB5,88,0.12,No failure detected,41.961884,-87.652503,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,8.96,bijus.digital.world@gmail.com,+91 9380636750
1N4AAPF1900016,Sentra,Spare Tire,Spare Tire,Tires,10-30k,1-3yr,2025-02-16,2023-09-16,,0,0,0,0.0775,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,42.440641,-71.02935,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,8.13,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNA1800017,Leaf,Brake Rotor,Brake Rotor,Brakes,0-10k,<1yr,2025-05-18,2025-04-18,,0,0,0,0.01,Continental Automotive Systems,14B23416,78,0.22,No failure detected,40.705773,-73.921676,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,10.64,bijus.digital.world@gmail.com,+91 9380636750
1N4AANA1300018,Sentra,Brake Pad,Brake Pad,Brakes,0-10k,<1yr,2025-01-27,2024-10-27,C1201,0,1,0,0.1762,Akebono Brake Corporation,4AC396F1,82,0.18,Hydraulic fluid contamination,39.925032,-75.093308,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,8.04,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRJ1400019,Ariya,Front Tire,Front Tire,Tires,30-60k,3-5yr,2025-04-16,2021-10-16,,0,0,0,0.2907,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,45.47161,-73.643877,"Montreal, QC",Montreal Nissan Centre,45.5117,-73.5573,10.59,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRD1200020,Ariya,12V Battery,12V Battery,Battery,10-30k,1-3yr,2025-06-16,2023-07-16,,0,0,0,0.0395,LG Energy Solution,A1D0557A,92,0.08,No failure detected,33.968416,-118.254691,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,10.67,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPB1800021,Ariya,Brake Pad,Brake Pad,Brakes,30-60k,1-3yr,2025-05-12,2024-05-12,,0,0,0,0.356,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,45.452137,-122.624706,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,9.45,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMA1000022,Leaf,12V Battery,12V Battery,Battery,10-30k,<1yr,2025-03-31,2024-06-30,,0,0,0,0.0453,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,39.909357,-75.212047,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,8.65,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMA1200023,Ariya,Front Tire,Front Tire,Tires,10-30k,3-5yr,2025-06-22,2022-05-22,,0,0,0,0.1312,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,29.819319,-95.436647,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,10.11,bijus.digital.world@gmail.com,+91 9380636750
1N4AZRK1100024,Leaf,Front Tire,Front Tire,Tires,10-30k,1-3yr,2025-06-27,2022-07-27,,0,0,0,0.1112,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,39.807849,-105.033723,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,8.81,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPD1600025,Ariya,Brake Rotor,Brake Rotor,Brakes,60k+,5+yr,2025-04-25,2018-01-08,,0,0,0,0.1114,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,41.845307,-87.581872,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,6.35,bijus.digital.world@gmail.com,+91 9380636750
1N4AARD1700026,Sentra,Gearbox,Gearbox,Transmission,0-10k,1-3yr,2025-03-09,2023-11-09,,0,0,0,0.0446,JATCO North America,BD01AAB5,88,0.12,No failure detected,37.733459,-122.481742,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,9.85,bijus.digital.world@gmail.com,+91 9380636750
1N4AAMD1600027,Sentra,Spare Tire,Spare Tire,Tires,0-10k,<1yr,2025-04-12,2024-08-12,,0,0,0,0.0529,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,37.849675,-122.391292,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,7.47,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPD1000028,Ariya,Torque Converter,Torque Converter,Transmission,10-30k,<1yr,2025-06-16,2024-10-16,,0,0,0,0.0147,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,29.726166,-95.452863,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,11.44,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMA1200029,Leaf,Brake Rotor,Brake Rotor,Brakes,0-10k,3-5yr,2025-06-30,2021-12-30,,0,0,0,0.0362,Brembo North America,D984E5F8,95,0.05,No failure detected,39.979987,-75.140155,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,2.55,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMF1100030,Ariya,Spare Tire,Spare Tire,Tires,10-30k,3-5yr,2025-03-09,2020-12-09,,0,0,0,0.0712,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,41.942965,-87.638449,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,6.43,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNB1100031,Leaf,Brake Rotor,Brake Rotor,Brakes,0-10k,<1yr,2025-03-20,2024-08-20,,0,0,0,0.01,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,34.085894,-118.286763,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,6.45,bijus.digital.world@gmail.com,+91 9380636750
1N4AAPD1100032,Sentra,HV Battery,HV Battery,Battery,0-10k,<1yr,2025-05-23,2024-10-23,P0A80,0,1,0,0.2586,LG Energy Solution,A1D0557A,92,0.08,Premature capacity loss from charging cycle wear,33.726477,-84.299532,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,9.43,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRB1600033,Ariya,Gearbox,Gearbox,Transmission,10-30k,5+yr,2025-02-09,2019-08-09,,0,0,0,0.1364,Aisin AW North America,4FC24710,80,0.2,No failure detected,43.707795,-79.354551,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,5.37,bijus.digital.world@gmail.com,+91 9380636750
1N4AAMF1800034,Sentra,Spare Tire,Spare Tire,Tires,10-30k,1-3yr,2025-04-21,2022-09-21,,0,0,0,0.0702,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,42.341361,-71.117639,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,8.27,bijus.digital.world@gmail.com,+91 9380636750
1N4AAMF1300035,Sentra,Torque Converter,Torque Converter,Transmission,30-60k,3-5yr,2025-03-03,2021-01-03,,0,0,0,0.0554,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,33.47885,-112.052559,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,2.6,bijus.digital.world@gmail.com,+91 9380636750
1N4AAPF1100036,Sentra,Clutch,Clutch,Transmission,10-30k,<1yr,2025-03-07,2024-09-07,,0,0,0,0.0312,JATCO North America,BD01AAB5,88,0.12,No failure detected,40.00251,-75.209164,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,7.45,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNF1800037,Leaf,Gearbox,Gearbox,Transmission,10-30k,1-3yr,2025-02-08,2024-02-08,,0,0,0,0.046,Aisin AW North America,4FC24710,80,0.2,No failure detected,40.760908,-74.024378,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,4.33,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMF1900038,Leaf,Brake Caliper,Brake Caliper,Brakes,30-60k,3-5yr,2025-05-05,2020-06-05,,0,0,0,0.1136,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,45.452858,-122.594616,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,11.47,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRA1700039,Ariya,Torque Converter,Torque Converter,Transmission,10-30k,<1yr,2025-04-18,2025-03-18,,0,0,0,0.0309,JATCO North America,BD01AAB5,88,0.12,No failure detected,45.578096,-73.482615,"Montreal, QC",Montreal Nissan Centre,45.5117,-73.5573,11.09,bijus.digital.world@gmail.com,+91 9380636750
1N4AARD1200040,Sentra,Clutch,Clutch,Transmission,30-60k,1-3yr,2025-06-08,2022-12-08,P0700,0,1,0,0.01,JATCO North America,BD01AAB5,88,0.12,Gear synchronizer wear,33.477589,-112.008234,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,6.55,bijus.digital.world@gmail.com,+91 9380636750
1N4AAPJ1300041,Sentra,Brake Pad,Brake Pad,Brakes,30-60k,1-3yr,2025-05-19,2022-11-19,C1201,0,1,0,0.3799,Brembo North America,D984E5F8,95,0.05,Rotor warping due to thermal cycling,34.004993,-118.300817,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,9.79,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPD1100042,Leaf,Spare Tire,Spare Tire,Tires,60k+,3-5yr,2025-01-18,2021-03-18,,0,0,0,0.2666,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,33.720892,-84.365117,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,4.47,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPF1400043,Leaf,Brake Rotor,Brake Rotor,Brakes,10-30k,1-3yr,2025-01-02,2022-12-02,,0,0,0,0.02,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,41.909451,-87.662413,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,5.29,bijus.digital.world@gmail.com,+91 9380636750
1N4BGNK1800044,Ariya,Brake Pad,Brake Pad,Brakes,10-30k,<1yr,2025-03-24,2024-11-24,,0,0,0,0.2538,Brembo North America,D984E5F8,95,0.05,No failure detected,33.756928,-84.399351,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,2.38,bijus.digital.world@gmail.com,+91 9380636750
1N4BGND1300045,Ariya,Brake Pad,Brake Pad,Brakes,10-30k,<1yr,2025-01-30,2024-06-30,,0,0,0,0.1941,Akebono Brake Corporation,4AC396F1,82,0.18,No failure detected,36.20972,-115.12016,"Las Vegas, NV",United Nissan,36.1799,-115.1298,3.48,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRA1400046,Ariya,Clutch,Clutch,Transmission,10-30k,1-3yr,2025-03-23,2023-03-23,,0,0,0,0.0226,Aisin AW North America,4FC24710,80,0.2,No failure detected,33.765216,-84.360072,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,2.11,bijus.digital.world@gmail.com,+91 9380636750
1N4AZRB1400047,Leaf,Torque Converter,Torque Converter,Transmission,30-60k,1-3yr,2025-04-30,2024-04-30,,0,0,0,0.0916,Aisin AW North America,4FC24710,80,0.2,No failure detected,41.861884,-87.593764,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,4.1,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPB1300048,Ariya,Front Tire,Front Tire,Tires,0-10k,<1yr,2025-05-14,2024-12-14,,0,0,0,0.0878,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,49.345583,-123.052772,"Vancouver, BC",Vancouver Nissan Service,49.2927,-123.1107,8.71,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMK1400049,Leaf,Brake Pad,Brake Pad,Brakes,10-30k,1-3yr,2025-04-28,2023-09-28,,0,0,0,0.2246,Brembo North America,D984E5F8,95,0.05,No failure detected,45.554659,-122.658941,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,3.43,bijus.digital.world@gmail.com,+91 9380636750
1N4BGNK1900050,Ariya,Brake Caliper,Brake Caliper,Brakes,0-10k,<1yr,2025-03-22,2024-09-22,,0,0,0,0.0149,Continental Automotive Systems,14B23416,78,0.22,No failure detected,33.667198,-84.401153,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,10.51,bijus.digital.world@gmail.com,+91 9380636750
1N4AARJ1900051,Sentra,Clutch,Clutch,Transmission,0-10k,3-5yr,2025-06-05,2020-07-05,,0,0,0,0.0286,Aisin AW North America,4FC24710,80,0.2,No failure detected,33.837649,-84.421153,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,9.96,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRD1600052,Ariya,Battery Cable,Battery Cable,Battery,30-60k,5+yr,2025-05-03,2018-11-20,,0,0,0,0.1417,Envision AESC,BA98DA71,75,0.25,No failure detected,25.739538,-80.215043,"Miami, FL",Miami Beach Nissan,25.7717,-80.1818,5.13,bijus.digital.world@gmail.com,+91 9380636750
1N4AZRF1700053,Leaf,12V Battery,12V Battery,Battery,10-30k,1-3yr,2025-01-29,2023-07-29,,0,0,0,0.0637,LG Energy Solution,A1D0557A,92,0.08,No failure detected,40.709196,-73.981495,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,4.12,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMD1000054,Leaf,Brake Rotor,Brake Rotor,Brakes,30-60k,3-5yr,2025-04-26,2021-04-26,,0,0,0,0.0537,Brembo North America,D984E5F8,95,0.05,No failure detected,39.99224,-75.080876,"Philadelphia, PA",Philly Metro Nissan,39.9626,-75.1552,8.88,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMF1000055,Leaf,Brake Caliper,Brake Caliper,Brakes,10-30k,<1yr,2025-01-26,2024-12-26,,0,0,0,0.0441,Continental Automotive Systems,14B23416,78,0.22,No failure detected,42.38028,-71.109531,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,6.82,bijus.digital.world@gmail.com,+91 9380636750
1N4AANK1800056,Sentra,Brake Rotor,Brake Rotor,Brakes,0-10k,<1yr,2025-03-01,2024-08-01,,0,0,0,0.0124,Continental Automotive Systems,14B23416,78,0.22,No failure detected,29.785805,-95.326196,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,4.1,bijus.digital.world@gmail.com,+91 9380636750
1N4AAMJ1500057,Sentra,Clutch,Clutch,Transmission,10-30k,<1yr,2025-03-27,2024-10-27,,0,0,0,0.0508,Aisin AW North America,4FC24710,80,0.2,No failure detected,40.746314,-74.084378,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,8.03,bijus.digital.world@gmail.com,+91 9380636750
1N4AANA1600058,Sentra,Gearbox,Gearbox,Transmission,30-60k,3-5yr,2025-06-12,2022-06-12,,0,0,0,0.1579,Aisin AW North America,4FC24710,80,0.2,No failure detected,41.909091,-87.562953,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,6.73,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMD1100059,Ariya,Rear Tire,Rear Tire,Tires,0-10k,1-3yr,2025-01-15,2022-02-15,,0,0,0,0.0843,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,33.479751,-112.053279,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,2.65,bijus.digital.world@gmail.com,+91 9380636750
1N4AARF1600060,Sentra,Rear Tire,Rear Tire,Tires,0-10k,<1yr,2025-06-25,2024-07-25,,0,0,0,0.0707,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,40.720007,-73.968342,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,5.3,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMD1800061,Ariya,12V Battery,12V Battery,Battery,10-30k,1-3yr,2025-03-23,2024-01-23,,0,0,0,0.0441,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,33.450562,-112.125532,"Phoenix, AZ",Phoenix Valley Nissan,33.4584,-112.064,6.89,bijus.digital.world@gmail.com,+91 9380636750
1N4AANB1400062,Sentra,Gearbox,Gearbox,Transmission,10-30k,<1yr,2025-03-15,2024-11-15,,0,0,0,0.0417,JATCO North America,BD01AAB5,88,0.12,No failure detected,39.742623,-104.961111,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,2.25,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNB1300063,Leaf,Front Tire,Front Tire,Tires,0-10k,<1yr,2025-04-04,2024-11-04,,0,0,0,0.077,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,32.813997,-96.754297,"Dallas, TX",Dallas Central Nissan,32.7867,-96.787,4.73,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPJ1900064,Leaf,Brake Caliper,Brake Caliper,Brakes,30-60k,1-3yr,2025-02-15,2022-03-15,,0,0,0,0.0679,Brembo North America,D984E5F8,95,0.05,No failure detected,43.582389,-79.462299,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,13.35,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPB1500065,Leaf,Brake Pad,Brake Pad,Brakes,60k+,3-5yr,2025-01-13,2020-08-13,C1201,1,0,0,0.75,Brembo North America,D984E5F8,95,0.05,Pad material decomposition from excessive heat,47.518092,-122.399848,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,13.89,bijus.digital.world@gmail.com,+91 9380636750
1N4AANK1000066,Sentra,Gearbox,Gearbox,Transmission,0-10k,1-3yr,2025-03-08,2023-12-08,P0700,1,0,0,0.0368,JATCO North America,BD01AAB5,88,0.12,Gear synchronizer wear,37.759945,-122.428769,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,3.51,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMK1000067,Leaf,Battery Cable,Battery Cable,Battery,10-30k,1-3yr,2025-03-10,2023-05-10,B1234,0,1,0,0.0273,AESC (Automotive Energy Supply),97330D39,88,0.12,Cell degradation due to thermal stress,42.423343,-71.005386,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,7.63,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPK1200068,Leaf,Brake Rotor,Brake Rotor,Brakes,10-30k,1-3yr,2025-03-10,2023-01-10,,0,0,0,0.0123,Brembo North America,D984E5F8,95,0.05,No failure detected,39.684786,-105.017687,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,8.27,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNF1600069,Leaf,Gearbox,Gearbox,Transmission,10-30k,1-3yr,2025-01-04,2023-11-04,,0,0,0,0.0362,Aisin AW North America,4FC24710,80,0.2,No failure detected,45.557736,-73.650723,"Montreal, QC",Montreal Nissan Centre,45.5117,-73.5573,11.56,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNB1900070,Leaf,Front Tire,Front Tire,Tires,10-30k,3-5yr,2025-01-30,2020-02-29,,0,0,0,0.2127,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,29.761301,-95.358629,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,1.02,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPJ1000071,Ariya,Battery Cable,Battery Cable,Battery,30-60k,3-5yr,2025-05-03,2021-07-03,,0,0,0,0.0619,Envision AESC,BA98DA71,75,0.25,No failure detected,42.308749,-70.995296,"Boston, MA",Boston Harbor Nissan,42.3701,-71.0489,9.04,bijus.digital.world@gmail.com,+91 9380636750
1N4AANJ1900072,Sentra,HV Battery,HV Battery,Battery,30-60k,1-3yr,2025-01-17,2023-02-17,P0A80,1,0,0,0.6427,LG Energy Solution,A1D0557A,92,0.08,Connector corrosion causing intermittent power loss,49.195313,-123.161781,"Vancouver, BC",Vancouver Nissan Service,49.2927,-123.1107,12.21,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPD1300073,Ariya,Front Tire,Front Tire,Tires,10-30k,3-5yr,2025-04-18,2020-09-18,,0,0,0,0.1459,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,33.800351,-84.358631,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,5.07,bijus.digital.world@gmail.com,+91 9380636750
1N4BGPJ1700074,Ariya,Front Tire,Front Tire,Tires,0-10k,1-3yr,2025-03-07,2024-03-07,C1201,0,1,0,0.079,Bridgestone Americas,18C7AD62,90,0.1,Sidewall cracking from UV exposure,39.7392,-104.991381,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,1.66,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPB1700075,Leaf,Front Tire,Front Tire,Tires,10-30k,5+yr,2025-02-13,2020-02-13,,0,0,0,0.2776,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,45.597903,-122.731013,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,10.65,bijus.digital.world@gmail.com,+91 9380636750
1N4AAND1200076,Sentra,Rear Tire,Rear Tire,Tires,0-10k,<1yr,2025-02-24,2024-08-24,,0,0,0,0.0609,Goodyear Tire & Rubber,819C1E2D,85,0.15,No failure detected,36.115125,-115.207007,"Las Vegas, NV",United Nissan,36.1799,-115.1298,11.19,bijus.digital.world@gmail.com,+91 9380636750
1N4BGMA1500077,Ariya,Clutch,Clutch,Transmission,10-30k,1-3yr,2025-05-31,2023-06-30,P0730,0,0,1,0.0328,ZF Friedrichshafen NA,67A49191,72,0.28,Torque converter seal leak,40.767034,-74.073027,"New York, NY",Manhattan Nissan Service,40.7228,-74.016,8.01,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPB1600078,Leaf,12V Battery,12V Battery,Battery,10-30k,5+yr,2025-05-08,2018-02-08,,0,0,0,0.021,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,45.579705,-122.755697,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,11.42,bijus.digital.world@gmail.com,+91 9380636750
1N4AZPB1500079,Leaf,Torque Converter,Torque Converter,Transmission,10-30k,1-3yr,2025-03-16,2023-05-16,,0,0,0,0.0702,JATCO North America,BD01AAB5,88,0.12,No failure detected,47.62602,-122.383271,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,6.88,bijus.digital.world@gmail.com,+91 9380636750
